"Add debug info in generated files","Add debug info in generated files"
"Compact","Compact"
"Compressed","Compressed"
"Do not forget to install ruby and sass on your server.<br/>If you do not want to use sass in command line, phpSass will be used instead","Do not forget to install ruby and sass on your server.<br/>If you do not want to use sass in command line, phpSass will be used instead"
"Expanded","Expanded"
"Nested","Nested"
"Output style","Output style"
"Sass command","Sass command"
"Sass settings","Sass settings"
"Use sass in command line","Use sass in command line"
"Use then FireSass plugin for <a href=""https://addons.mozilla.org/en-US/firefox/addon/firesass-for-firebug/"" target=""_blank"">FireBug</a>.","Use then FireSass plugin for <a href=""https://addons.mozilla.org/en-US/firefox/addon/firesass-for-firebug/"" target=""_blank"">FireBug</a>."
